,Unnamed: 0,Miasto,Powiat,Województwo,Populacja,Obszar
0,1,Warszawa,powiat Warszawa,mazowieckie,1 777 972,"517,2 km²"
1,2,Kraków,powiat Kraków,małopolskie,771 069,"326,9 km²"
2,3,Łódź,powiat Łódź,łódzkie,685 285,"293,3 km²"
3,4,Wrocław,powiat Wrocław,dolnośląskie,640 648,"292,8 km²"
4,5,Poznań,powiat Poznań,wielkopolskie,536 438,"261,9 km²"
5,6,Gdańsk,powiat Gdańsk,pomorskie,466 631,262 km²
6,7,Szczecin,powiat Szczecin,zachodniopomorskie,402 465,"300,6 km²"
7,8,Bydgoszcz,powiat Bydgoszcz,kujawsko-pomorskie,350 178,176 km²
8,9,Lublin,powiat Lublin,lubelskie,339 682,"147,5 km²"
9,10,Białystok,powiat Białystok,podlaskie,297 459,"102,1 km²"
10,11,Katowice,powiat Katowice,śląskie,294 510,"164,6 km²"
11,12,Gdynia,powiat Gdynia,pomorskie,246 309,"135,1 km²"
12,13,Częstochowa,powiat Częstochowa,śląskie,222 292,"159,7 km²"
13,14,Radom,powiat Radom,mazowieckie,213 029,"111,8 km²"
14,15,Toruń,powiat Toruń,kujawsko-pomorskie,202 074,"115,7 km²"
15,16,Sosnowiec,powiat Sosnowiec,śląskie,202 036,"91,1 km²"
16,17,Kielce,powiat Kielce,świętokrzyskie,195 774,"109,7 km²"
17,18,Rzeszów,powiat Rzeszów,podkarpackie,191 564,"120,4 km²"
18,19,Gliwice,powiat Gliwice,śląskie,179 806,"133,9 km²"
19,20,Zabrze,powiat Zabrze,śląskie,173 374,"80,4 km²"
20,21,Olsztyn,powiat Olsztyn,warmińsko-mazurskie,172 362,"88,3 km²"
21,22,Bielsko-Biała,powiat Bielsko-Biała,śląskie,171 259,"124,5 km²"
22,23,Bytom,powiat Bytom,śląskie,166 795,"69,4 km²"
23,24,Zielona Góra,powiat Zielona Góra,lubuskie,140 297,"278,3 km²"
24,25,Rybnik,powiat Rybnik,śląskie,138 696,"148,4 km²"
25,26,Ruda Śląska,powiat Ruda Śląska,śląskie,138 000,"77,7 km²"
26,27,Opole,powiat Opole,opolskie,128 137,"148,9 km²"
27,28,Tychy,powiat Tychy,śląskie,127 831,"81,8 km²"
28,29,Gorzów Wielkopolski,powiat Gorzów Wielkopolski,lubuskie,123 921,"85,7 km²"
29,30,Dąbrowa Górnicza,powiat Dąbrowa Górnicza,śląskie,120 259,"188,7 km²"
30,31,Elbląg,powiat Elbląg,warmińsko-mazurskie,120 142,"79,8 km²"
31,32,Płock,powiat Płock,mazowieckie,120 000,88 km²
32,33,Wałbrzych,powiat Wałbrzych,dolnośląskie,112 594,"84,7 km²"
33,34,Włocławek,powiat Włocławek,kujawsko-pomorskie,110 802,"84,3 km²"
34,35,Tarnów,powiat Tarnów,małopolskie,109 062,"72,4 km²"
35,36,Chorzów,powiat Chorzów,śląskie,108 434,"33,2 km²"
36,37,Koszalin,powiat Koszalin,zachodniopomorskie,107 321,"98,3 km²"
37,38,Kalisz,powiat Kalisz,wielkopolskie,100 975,"69,4 km²"
38,39,Legnica,powiat Legnica,dolnośląskie,99 752,"56,3 km²"
39,40,Grudziądz,powiat Grudziądz,kujawsko-pomorskie,95 045,"57,8 km²"
40,41,Jaworzno,powiat Jaworzno,śląskie,91 563,"152,6 km²"
41,42,Słupsk,powiat Słupsk,pomorskie,91 007,"43,2 km²"
42,43,Jastrzębie-Zdrój,powiat Jastrzębie-Zdrój,śląskie,89 128,"85,3 km²"
